X,Y,OBJECTID,NCESSCH,NAME,IPR_EST,IPR_SE,SCHOOLYEAR,LAT,LON
-86.813244,33.494731,280,10039000119,Epic School,156,54,2018-2019,33.494731,-86.813244
-86.731935,33.536846,281,10039000127,Oliver K5 School,139,35,2018-2019,33.536846,-86.731935
-86.897132,33.470664,282,10039000133,Green Acres Middle School,137,40,2018-2019,33.470664,-86.897132
-86.851938,33.493138,283,10039000136,Hemphill Elementary School,135,56,2018-2019,33.493138,-86.851938
-86.804788,33.555745,284,10039000139,Hudson KEight School,93,50,2018-2019,33.555745,-86.804788
-86.692793,33.594988,285,10039000140,Huffman Middle School,207,93,2018-2019,33.594988,-86.692793
-86.681986,33.612911,286,10039000141,Huffman High SchoolMagnet,174,78,2018-2019,33.612911,-86.681986
-86.781507,33.563814,287,10039000142,Inglenook School,120,37,2018-2019,33.563814,-86.781507
-86.882368,33.505208,288,10039000156,Minor Elementary School,118,18,2018-2019,33.505208,-86.882368
-86.802011,33.54117,289,10039000161,Norwood Elementary School,153,85,2018-2019,33.54117,-86.802011
-86.892235,33.518499,290,10039000164,JacksonOlin High School,110,17,2018-2019,33.518499,-86.892235
-86.829301,33.514596,291,10039000165,Parker High School,142,73,2018-2019,33.514596,-86.829301
-86.860673,33.502574,292,10039000174,Princeton School,127,36,2018-2019,33.502574,-86.860673
-86.714067,33.527992,293,10039000175,WE Putnam Middle SchoolMagnet,269,88,2018-2019,33.527992,-86.714067
-86.798597,33.497635,294,10039000176,Ramsay High School,223,83,2018-2019,33.497635,-86.798597
-86.719297,33.572699,295,10039000179,Robinson Elementary School,104,27,2018-2019,33.572699,-86.719297
-86.701027,33.610386,296,10039000184,Smith Middle School,209,98,2018-2019,33.610386,-86.701027
-86.829686,33.525253,297,10039000187,Tuggle Elementary School,145,68,2018-2019,33.525253,-86.829686
-86.828323,33.496044,298,10039000190,Washington Elementary School,138,66,2018-2019,33.496044,-86.828323
-86.881987,33.464299,299,10039000191,Jones Valley Middle School,130,39,2018-2019,33.464299,-86.881987
